Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Materials,Ceiling Height,Coverage,Improvement Ratio,Land Area AC,Land Area SF,Listing Broker Street Number,Listing Broker Street Post-Direction,Market Time,Number Of Floors,Number Of Parking Spaces,Number Of Tenants,Parking Ratio,Percent Office,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property County,Property State,Property Zip Code,PropertyType,Sale Date,Sale Price,Sale Status,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Size,Star Rating,Submarket Code,Submarket Name,Tenancy,Total Expense Amount,Typ Flr (SF),Vacancy,Year Built
1,1500000,,,,,12000,B,Metal,"22'0""",0.1981898659,,1.39,60548,1000,,355,1,,,,,,,,,,,,,,,Bexar,TX,78218,Industrial,8/23/2016,,Sold,,,,Warehouse,"1000 E Basse Rd, 100",San Antonio,Colglazier Properties,,12000,2 Star,S06,Northeast,Single,,12000,,2016
33,,557050,51180,608230,2015,8343,C,Masonry,"18'0""",0.4075123333,91,0.47,20473,,,,1,12,,1.51,,,,,,,,,,,,Bexar,TX,78250,Industrial,9/12/2016,,Sold,,,,Warehouse,,,,,8343,2 Star,S07,Northwest,Multi,16477.3,8343,,1984
25,,319290,246720,566010,2016,11939,C,Masonry,,0.3820525292,56,0.38,16448,,,,2,31,1,2.09,,,,,,,,,,,,Bexar,TX,78215,Industrial,9/2/2016,,Sold,,,,Manufacturing,,,,,11939,2 Star,S01,CBD,Multi,15975.09,6284,,1992
36,,317550,121900,439450,2016,4750,C,Metal,,0.1529396613,72,0.71,31058,,,,1,8,1,1.68,,,,,,,,,,,,Bexar,TX,78217,Industrial,9/28/2016,,Sold,,,,Manufacturing,,,,,4750,1 Star,S05,North Central,Multi,,4750,,1981
47,,2964900,285100,3250000,2016,77357,C,Masonry,"35'0""",0.1163731112,91,7.63,332362,,,,2,36,,0.72,5.784868,,,,,,,,,,,Bexar,TX,78219,Industrial,12/22/2016,,Sold,,,,Service,126 Diamond Point,Mabank,Allied Vista Leasing Ltd,Thomas Lyon,77357,2 Star,S06,Northeast,Multi,91728.16,38678,100,1970
6,,18198990,1355580,19554570,2016,122215,B,,,0.0468783682,93,59.85,2607066,,,,1,,,,,,,,,,,,,,,Bexar,TX,78223,Industrial,12/23/2016,,Sold,,,,,"2929 Allen Pky, 2100",Houston,Baker Hughes Incorporated,,122215,3 Star,S08,South,,,122215,,2011
57,,710320,68600,778920,2016,16400,C,Masonry,,0.4462463606,91,0.84,36751,,,,1,50,,0.64,16.158537,,,,,,,,,,,Bexar,TX,78202,Industrial,1/27/2017,,Sold,,,,Warehouse,,,,,16400,2 Star,S06,Northeast,Single,,16400,,1960
49,2250000,132910,102190,235100,2015,10000,C,Metal,"20'0""-26'0""",0.1471605374,56,1.56,67953,14400,,348,1,20,1,0.37,15,,,,,,,,,,,Bexar,TX,78210,Industrial,5/18/2016,,Sold,,,,Distribution,,,,,10000,2 Star,S08,South,Multi,8495.72,10000,,1968
35,,2001570,898430,2900000,2014,67619,B,Masonry,"10'0""-18'0""",0.2822397529,69,5.5,239580,396,,,1,400,,5.92,,Y,,,,,,,,,,Bexar,TX,78217,Industrial,5/11/2015,,Sold,,,,,"18022 Cowan, 295",Irvine,Commercial Property Services,,67619,3 Star,S06,Northeast,Multi,103426.53,67619,41.29,1982
37,,895270,406190,1301460,2014,36600,C,Masonry,"24'0""",0.418022957,68,2.01,87555,,,,1,50,2,1,,,,,,,,,,,,Bexar,TX,78216,Industrial,3/31/2015,,Sold,,,,Service,,,,,36600,2 Star,S05,North Central,Multi,36252.94,36600,,1980
